pl_name,pl_name,Lists,pl_bmassj,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_radj,pl_radjerr2,pl_radjerr1,pl_radjerr2,pl_radjerr1,pl_orbper,pl_orbpererr2,pl_orbpererr1,pl_orbpererr2,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr2,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenerr1,pl_eqt,pl_eqterr2,pl_eqterr1,pl_eqterr2,pl_eqterr1,Discovery method,pl_publ_date,Last updated [yy/mm/dd],source (xml)
HATS-6 b,HATS-6 b,,0.31900,0.07000,0.07000,0.07000,0.07000,0.998,0.019,0.019,0.019,0.019,3.32527250,0.00000210,0.00000210,0.00000210,0.00000210,0.000000,,,,,713,5,5,5,5,,2015,,
HD 142 b,HD 142 b,,1.25000,0.15000,0.15000,0.15000,0.15000,,,,,,349.70000000,1.20000000,1.20000000,1.20000000,1.20000000,0.170000,0.060000,0.060000,0.060000,0.060000,,,,,,,2002,,
HD 142 c,HD 142 c,,5.30000,0.70000,0.70000,0.70000,0.70000,,,,,,6005.00000000,477.00000000,477.00000000,477.00000000,477.00000000,0.210000,0.070000,0.070000,0.070000,0.070000,,,,,,,2012,,
HD 1502 b,HD 1502 b,,3.10000,0.20000,0.20000,0.20000,0.20000,,,,,,431.80000000,3.50000000,3.50000000,3.50000000,3.50000000,0.101000,0.037000,0.037000,0.037000,0.037000,,,,,,,2011,,
HD 1605 b,HD 1605 b,,0.96000,0.04000,0.06000,0.04000,0.06000,,,,,,577.90000000,4.90000000,5.60000000,4.90000000,5.60000000,0.078000,0.035000,0.082000,0.035000,0.082000,,,,,,,2015,,
HD 1666 b,HD 1666 b,,6.43000,0.22000,0.31000,0.22000,0.31000,,,,,,270.00000000,0.90000000,0.80000000,0.90000000,0.80000000,0.630000,0.020000,0.030000,0.020000,0.030000,,,,,,,2015,,
HD 1690 b,HD 1690 b,,6.10000,0.90000,0.90000,0.90000,0.90000,,,,,,533.00000000,1.70000000,1.70000000,1.70000000,1.70000000,0.640000,0.040000,0.040000,0.040000,0.040000,,,,,,,2011,,
HD 2039 b,HD 2039 b,,6.11000,0.82000,0.82000,0.82000,0.82000,,,,,,1120.00000000,23.00000000,23.00000000,23.00000000,23.00000000,0.715000,0.046000,0.046000,0.046000,0.046000,,,,,,,2003,,
HD 2638 b,HD 2638 b,,0.48000,,,,,,,,,,3.44420000,0.00020000,0.00020000,0.00020000,0.00020000,0.000000,,,,,,,,,,,2005,,
HD 3651 b,HD 3651 b,,0.22900,0.00800,0.00800,0.00800,0.00800,,,,,,62.21800000,0.01500000,0.01500000,0.01500000,0.01500000,0.596000,0.036000,0.036000,0.036000,0.036000,,,,,,,2003,,
